solvent,T_K,tau_iso_ps,tau_R_ps,y_neg_ln_tauiso,x_ln_tauR,invT
he,293,830,24,-6.721425700790643,3.1780538303479458,0.0034129692832764505
he,303,599,23,-6.395261598115449,3.1354942159291497,0.0033003300330033004
he,313,430,19,-6.063785208687608,2.9444389791664403,0.003194888178913738
he,323,331,17,-5.802118375377063,2.833213344056216,0.0030959752321981426
hp,293,935,28,-6.840546529288687,3.332204510175204,0.0034129692832764505
hp,303,697,25,-6.546785410760524,3.2188758248682006,0.0033003300330033004
hp,313,507,22,-6.2285110035911835,3.091042453358316,0.003194888178913738
hp,323,369,19,-5.910796644040527,2.9444389791664403,0.0030959752321981426
oc,293,1071,36,-6.976348070447749,3.58351893845611,0.0034129692832764505
oc,303,782,33,-6.661854740545311,3.4965075614664802,0.0033003300330033004
oc,313,562,26,-6.331501849893691,3.258096538021482,0.003194888178913738
oc,323,436,22,-6.077642243349034,3.091042453358316,0.0030959752321981426
dc,293,1214,57,-7.101675971619444,4.04305126783455,0.0034129692832764505
dc,303,917,43,-6.821107472256465,3.7612001156935624,0.0033003300330033004
dc,313,639,38,-6.459904454377535,3.6375861597263857,0.003194888178913738
dc,323,507,33,-6.2285110035911835,3.4965075614664802,0.0030959752321981426
hd,293,1843,170,-7.519149957669823,5.135798437050262,0.0034129692832764505
hd,303,1204,111,-7.093404625868766,4.709530201312334,0.0033003300330033004
hd,313,832,81,-6.723832440821209,4.394449154672439,0.003194888178913738
hd,323,682,68,-6.525029657843462,4.219507705176107,0.0030959752321981426
ch,293,1034,62,-6.9411900550683745,4.127134385045092,0.0034129692832764505
ch,303,715,49,-6.5722825426940075,3.8918202981106265,0.0033003300330033004
ch,313,531,39,-6.274762021241939,3.6635616461296463,0.003194888178913738
ch,323,391,33,-5.968707559985366,3.4965075614664802,0.0030959752321981426
