solvent,class,eta_cP,tau_R_ps,tau_iso_ps,y_neg_ln_tauiso,ln_eta,ln_tauR
pe,n-alkane,0.234,10,80,-4.382026634673881,-1.4524341636244356,2.302585092994046
he,n-alkane,0.307,14,89,-4.48863636973214,-1.18090753139494,2.6390573296152584
hp,n-alkane,0.418,17,98,-4.584967478670572,-0.8722738464573808,2.833213344056216
oc,n-alkane,0.547,22,108,-4.68213122712422,-0.6033064765601558,3.091042453358316
dc,n-alkane,0.925,28,125,-4.8283137373023015,-0.0779615414697118,3.332204510175204
hd,n-alkane,3.125,78,178,-5.181783550292085,1.1394342831883648,4.356708826689592
ch,iso-cyclic-perfluoro,0.977,35,83,-4.418840607796598,-0.02326862693935433,3.5553480614894135
pfh,iso-cyclic-perfluoro,0.708,21,53,-3.970291913552122,-0.34531118528841737,3.044522437723423
db,polar,0.689,27,85,-4.442651256490317,-0.37251400796847856,3.295836866004329
de,polar,0.254,13,63,-4.143134726391533,-1.3704210119636004,2.5649493574615367
th,polar,0.53,24,74,-4.30406509320417,-0.6348782724359695,3.1780538303479458
ac,polar,0.357,17,41,-3.713572066704308,-1.030019497202498,2.833213344056216
