solvent,class,eta_cP,tau_R_ps,tau_iso_ps,y_neg_ln_tauiso,ln_eta,ln_tauR
pe,n-alkane,0.234,19,712,-6.568077911411976,-1.4524341636244356,2.9444389791664403
ipe,iso-cyclic-perfluoro,0.225,20,661,-6.493753839851686,-1.491654876777717,2.995732273553991
he,n-alkane,0.307,23,829,-6.720220155135295,-1.18090753139494,3.1354942159291497
hp,n-alkane,0.418,28,938,-6.843749949006225,-0.8722738464573808,3.332204510175204
oc,n-alkane,0.547,35,1051,-6.957497370876951,-0.6033064765601558,3.5553480614894135
ioc,iso-cyclic-perfluoro,0.547,36,782,-6.661854740545311,-0.6033064765601558,3.58351893845611
dc,n-alkane,0.925,58,1214,-7.101675971619444,-0.0779615414697118,4.060443010546419
hd,n-alkane,3.125,170,1843,-7.519149957669823,1.1394342831883648,5.135798437050262
ch,iso-cyclic-perfluoro,0.977,60,1037,-6.9440872082295275,-0.02326862693935433,4.0943445622221
db,polar,0.689,50,489,-6.192362489474872,-0.37251400796847856,3.912023005428146
de,polar,0.254,23,147,-4.990432586778736,-1.3704210119636004,3.1354942159291497
th,polar,0.53,41,125,-4.8283137373023015,-0.6348782724359695,3.713572066704308
ac,polar,0.357,31,26,-3.258096538021482,-1.030019497202498,3.4339872044851463
me,polar,0.587,49,36,-3.58351893845611,-0.5327304591540407,3.8918202981106265
