solute,n,model,loo_mse,full_design_condition_number,mean_train_condition_number,full_coefficients_intercept_then_features
tS,12,B0,0.16266064440593403,1.0,1.0,-4.371974254
tS,12,B1_eta,0.12171168150835147,1.8408526,1.8458499,-4.4611796;-0.16417686
tS,12,B2_eta_rot,0.19226545238856815,13.128869,13.623462,-3.6699462;-0.036176744;-0.23014798
tS,12,P_eta_rot_eps,0.13205118908638866,14.968717,15.544555,-3.9150091;-0.034368992;-0.13362978;0.13966339
tS,12,V_eta_rot_Vm,0.12723677668175026,54.795261,63.14487,-2.5310664;-0.027523499;-0.30194887;-0.096270167
tS,12,PV_eta_rot_eps_Vm,0.1774676357689928,65.610264,77.715202,-2.7785965;-0.024761317;-0.2113504;0.1390564;-0.075771834
ttD,14,B0,1.9318270459977926,1.0,1.0,-5.8925897
ttD,14,B1_eta,1.8451776272583398,1.8080966,1.8110798,-5.970004;-0.35597638
ttD,14,B2_eta_rot,0.9865313872222222,12.463517,12.824338,-4.0551384;0.061905144;-0.50044305
ttD,14,P_eta_rot_eps,0.06284342616399939,15.192795,15.671188,-4.8647941;0.11101707;-0.41142715;0.92636465
ttD,14,V_eta_rot_Vm,0.37687558847081465,49.201672,54.489304,4.7993149;0.086364706;-0.64579374;-1.6469638
ttD,14,PV_eta_rot_eps_Vm,0.08036007873566162,57.862646,65.259512,0.55925156;0.10271738;-0.46881255;0.67559128;-0.82881079
