solvent,ln_k,ln_eta,molecular_weight,ln_molecular_weight
Pentane,-6.172,-1.475,72.15,4.278747
Hexane,-6.221,-1.172,86.18,4.456438
Heptane,-6.299,-0.8896,100.2,4.607168
Octane,-6.388,-0.6127,114.2,4.738827
Nonane,-6.454,-0.3401,128.2,4.853592
Decane,-6.514,-0.09047,142.3,4.957938
Undecane,-6.603,0.1766,156.3,5.051137
Dodecane,-6.686,0.4069,170.3,5.137382
Dichloromethane,-6.386,-0.823,84.93,4.442769
Acetonitrile,-6.511,-1.017,41.05,3.714791
Methanol,-6.844,-0.4974,32.04,3.466985
10% glycerol in methanol,-6.953,-0.1859,34.28,3.534562
20% glycerol in methanol,-7.075,0.1912,36.85,3.606856
30% glycerol in methanol,-7.221,0.6223,39.83,3.684621
40% glycerol in methanol,-7.366,1.14,43.35,3.769307
50% glycerol in methanol,-7.615,1.757,47.54,3.861571
15% glycol in methanol,-6.998,-0.1612,34.55,3.542407
30% glycol in methanol,-7.095,0.2499,37.48,3.623807
40% glycol in methanol,-7.224,0.557,39.73,3.681099
50% glycol in methanol,-7.372,0.8727,42.26,3.743841
Ethanol,-6.984,0.1868,46.07,3.830163
1-Propanol,-6.975,0.7931,60.1,4.09601
1-Butanol,-6.883,1.089,74.12,4.305685
1-Pentanol,-6.882,1.425,88.15,4.478473
1-Hexanol,-6.929,1.697,102.2,4.62791
1-Heptanol,-6.981,1.988,116.2,4.755313
1-Octanol,-7.002,2.178,130.2,4.869072
1-Nonanol,-7.12,2.548,144.3,4.971895
Benzene,-6.869,-0.4246,78.11,4.357862
Toluene,-6.851,-0.524,92.14,4.523309
Ethylbenzene,-6.843,-0.3943,106.2,4.665324
Butylbenzene,-6.874,0.05552,134.2,4.899331
Hexylbenzene,-6.944,0.5331,162.3,5.08914
Octylbenzene,-7.034,0.9579,190.3,5.248601
Dodecylbenzene,-7.24,1.721,246.4,5.507156
para-Xylene,-6.856,-0.4349,106.2,4.665324
Diethylbenzene,-6.941,-0.1555,134.2,4.899331
Dibutylbenzene,-7.08,0.8901,190.3,5.248601
Anisole,-7.074,0.1028,108.1,4.683057
Benzonitrile,-6.307,0.3231,103,4.634729
Anisole/benzonitrile,-6.586,0.1673,105.5,4.658711
Methyl benzoate,-7.159,0.7277,136.2,4.91339
Cyclopentane,-6.421,-0.8461,70.1,4.249923
Cyclohexane,-6.486,-0.03315,84.16,4.43272
Cycloheptane,-6.524,0.4036,98.19,4.587923
Cyclooctane,-6.634,0.9245,112.2,4.720283
Isopentane,-6.06,-1.473,72.15,4.278747
Neohexane,-6.248,-1.008,86.17,4.456322
Methanol-d4,-6.903,-0.4195,36.07,3.585739
Methanol-d1,-6.854,-0.4952,33.05,3.497022
