solvent,ln_k,ln_eta,D_source,ln_D
Pentane,-6.172,-1.475,17.93,2.886475
Heptane,-6.299,-0.8896,11.0,2.397895
Dodecane,-6.686,0.4069,2.5,0.916291
Dichloromethane,-6.386,-0.823,11.28,2.423031
Methanol,-6.844,-0.4974,8.719,2.165505
1-Pentanol,-6.882,1.425,1.386,0.326421
1-Nonanol,-7.12,2.548,0.425,-0.855666
Benzene,-6.869,-0.4246,7.427,2.005122
Toluene,-6.851,-0.524,7.425,2.004852
Octylbenzene,-7.034,0.9579,1.724,0.544067
Dibutylbenzene,-7.08,0.8901,2.032,0.709036
Anisole,-7.074,0.1028,4.339,1.467644
Benzonitrile,-6.307,0.3231,5.544,1.712716
