solvent,T_K,tau_iso_ps,tau_R_ps,y_neg_ln_tauiso,x_ln_tauR,invT
he,283,120,17,-4.787491742782046,2.833213344056216,0.0035335689045936395
he,293,89,14,-4.48863636973214,2.6390573296152584,0.0034129692832764505
he,303,69,12,-4.23410650459726,2.4849066497880004,0.0033003300330033004
he,313,56,11,-4.02535169073515,2.3978952727983707,0.003194888178913738
he,323,45,10,-3.8066624897703196,2.302585092994046,0.0030959752321981426
hp,283,130,21,-4.867534450455582,3.044522437723423,0.0035335689045936395
hp,293,97,17,-4.574710978503383,2.833213344056216,0.0034129692832764505
hp,303,76,16,-4.330733340286331,2.772588722239781,0.0033003300330033004
hp,313,60,12,-4.0943445622221,2.4849066497880004,0.003194888178913738
hp,323,52,11,-3.9512437185814275,2.3978952727983707,0.0030959752321981426
oc,283,146,26,-4.983606621708336,3.258096538021482,0.0035335689045936395
oc,293,108,22,-4.68213122712422,3.091042453358316,0.0034129692832764505
oc,303,84,18,-4.430816798843313,2.8903717578961645,0.0033003300330033004
oc,313,68,16,-4.219507705176107,2.772588722239781,0.003194888178913738
oc,323,55,14,-4.007333185232471,2.6390573296152584,0.0030959752321981426
dc,283,170,40,-5.135798437050262,3.6888794541139363,0.0035335689045936395
dc,293,125,28,-4.8283137373023015,3.332204510175204,0.0034129692832764505
dc,303,95,26,-4.553876891600541,3.258096538021482,0.0033003300330033004
dc,313,76.5,23,-4.33729074083249,3.1354942159291497,0.003194888178913738
dc,323,63,20,-4.143134726391533,2.995732273553991,0.0030959752321981426
hd,293,178,38,-5.181783550292085,3.6375861597263857,0.0034129692832764505
hd,303,130,28,-4.867534450455582,3.332204510175204,0.0033003300330033004
hd,313,95,22,-4.553876891600541,3.091042453358316,0.003194888178913738
hd,323,73,20,-4.290459441148391,2.995732273553991,0.0030959752321981426
ch,283,110,22,-4.700480365792417,3.091042453358316,0.0035335689045936395
ch,293,86,17,-4.454347296253507,2.833213344056216,0.0034129692832764505
ch,303,74,15,-4.30406509320417,2.70805020110221,0.0033003300330033004
ch,313,60,13,-4.0943445622221,2.5649493574615367,0.003194888178913738
ch,323,50,11,-3.912023005428146,2.3978952727983707,0.0030959752321981426
ac,283,51,21,-3.9318256327243257,3.044522437723423,0.0035335689045936395
ac,293,40,18,-3.6888794541139363,2.8903717578961645,0.0034129692832764505
ac,303,33,15,-3.4965075614664802,2.70805020110221,0.0033003300330033004
ac,313,28,14,-3.332204510175204,2.6390573296152584,0.003194888178913738
ac,323,23,11,-3.1354942159291497,2.3978952727983707,0.0030959752321981426
