solvent,x_tauL_inv_ratio,source_qualified_nonDebye,couple,y_barrier_corrected_rate_ratio
propionitrile,1.0,False,Cp2Co,0.9
propionitrile,1.0,False,CpPrime2Fe,0.65
propionitrile,1.0,False,Cp2Fe,0.75
propionitrile,1.0,False,HMFc,1.2
acetone,0.9,False,CpPrime2Co,0.6
acetone,0.9,False,Cpe2Co,0.7
acetone,0.9,False,Cp2Co,0.6
acetone,0.9,False,CpPrime2Fe,0.7
acetone,0.9,False,Cp2Fe,1.0
acetone,0.9,False,HMFc,1.4
D2O,0.5,False,Cpe2Co,1.2
D2O,0.5,False,HMFc,2.0
nitromethane,1.0,False,Cpe2Co,1.1
nitromethane,1.0,False,CpPrime2Fe,1.0
nitromethane,1.0,False,Cp2Fe,1.25
nitromethane,1.0,False,HMFc,2.3
DMF,0.2,False,CpPrime2Co,0.25
DMF,0.2,False,Cpe2Co,0.13
DMF,0.2,False,Cp2Co,0.4
DMSO,0.12,False,CpPrime2Co,0.2
DMSO,0.12,False,Cp2Co,0.3
DMSO,0.12,False,Cp2Fe,0.5
benzonitrile,0.05,False,CpPrime2Co,0.15
benzonitrile,0.05,False,Cpe2Co,0.11
benzonitrile,0.05,False,Cp2Co,0.4
benzonitrile,0.05,False,CpPrime2Fe,0.45
benzonitrile,0.05,False,Cp2Fe,0.8
benzonitrile,0.05,False,HMFc,0.9
nitrobenzene,0.05,False,Cpe2Co,0.06
nitrobenzene,0.05,False,CpPrime2Fe,0.45
nitrobenzene,0.05,False,Cp2Fe,0.9
nitrobenzene,0.05,False,HMFc,0.7
TMU,0.043,False,Cpe2Co,0.11
TMU,0.043,False,Cp2Co,0.15
HMPA,0.028,False,CpPrime2Co,0.04
HMPA,0.028,False,Cp2Co,0.075
PC,0.1,True,CpPrime2Co,0.55
PC,0.1,True,Cpe2Co,0.6
PC,0.1,True,Cp2Co,0.65
PC,0.1,True,HMFc,1.9
NMF,0.07,True,Cp2Co,1.4
methanol,0.035,True,Cpe2Co,0.6
methanol,0.035,True,Cp2Co,1.6
methanol,0.035,True,Cp2Fe,1.55
methanol,0.035,True,HMFc,2.4
ethanol,0.008,True,Cp2Co,0.75
